# ============================================================================
# CHAOS REDUX - EVENT 006 INDEPENDENCE WAVE IDEAS REGISTRY
# ============================================================================
# Definition-only source consolidation. Original identifiers, values, and
# section order are preserved; source markers retain package provenance.
# Identical file-scoped constants are emitted once at the registry header.
# ============================================================================

# Consolidated file-scoped constants
@mnt_traditional_recruitable = 0.05
@mnt_emergency_defense = 0.12
@mnt_emergency_org = 0.10
@mnt_emergency_training = -0.10
@CR_SC_INDEPENDENCE_WAVE_FORM48_MODIFIER_CARRIER_DOCKYARD = 0.10
@CR_SC_INDEPENDENCE_WAVE_FORM48_MODIFIER_CARRIER_ESCORT = 0.10
@CR_SC_INDEPENDENCE_WAVE_FORM48_MODIFIER_CARRIER_INDUSTRY = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM48_MODIFIER_CARRIER_PLANNING = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM48_MODIFIER_MEMBER_ESCORT = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM48_MODIFIER_MEMBER_SUPPLY = -0.05
@CR_SC_INDEPENDENCE_WAVE_FORM48_MODIFIER_MEMBER_TRADE = 0.10
@CR_SC_INDEPENDENCE_WAVE_PACIFIC_MODIFIER_MAJOR = 0.10
@CR_SC_INDEPENDENCE_WAVE_PACIFIC_MODIFIER_MINOR = 0.03
@CR_SC_INDEPENDENCE_WAVE_PACIFIC_MODIFIER_RECRUITABLE_POPULATION = 0.01
@CR_SC_INDEPENDENCE_WAVE_PACIFIC_MODIFIER_STANDARD = 0.05
@CR_SC_INDEPENDENCE_WAVE_PACIFIC_MODIFIER_STANDARD_REDUCTION = -0.05
@CR_SC_INDEPENDENCE_WAVE_PACIFIC_MODIFIER_STRONG = 0.08
@CR_SC_INDEPENDENCE_WAVE_PACIFIC_MODIFIER_STRONG_REDUCTION = -0.08
@rhi_crisis_stability = -0.10
@rhi_crisis_factory = -0.15
@rhi_crisis_supply = 0.10
@rhi_crisis_efficiency = -0.10
@rhi_mature_stability = 0.10
@rhi_mature_factory = 0.10
@rhi_mature_supply = -0.05
@rhi_mature_efficiency = 0.10
@bay_crisis_stability = -0.10
@bay_crisis_construction = -0.10
@bay_crisis_org = -0.10
@bay_crisis_supply = 0.10
@bay_mature_stability = 0.10
@bay_mature_construction = 0.10
@bay_mature_org = 0.05
@bay_mature_supply = -0.05
@route_pp = 0.10
@route_stability = 0.05
@route_research = 0.05
@route_factory = 0.10
@route_efficiency = 0.10
@route_consumer_relief = -0.05
@route_org = 0.10
@route_planning = 0.10
@route_training = -0.10
@route_emergency_consumer = 0.05
@route_patron_factory = 0.10
@route_patron_pp = -0.05
@route_patron_consumer = 0.05
@route_traditional_stability = 0.10
@route_traditional_war_support = 0.10
@route_traditional_recruitable = 0.05
@rut_crisis_stability = -0.14
@rut_crisis_supply = 0.16
@rut_crisis_recruitable = -0.03
@rut_mature_stability = 0.10
@rut_mature_supply = -0.08
@rut_mature_defense = 0.10
@rut_constitutional_stability = 0.07
@rut_constitutional_research = 0.06
@rut_constitutional_construction = 0.05
@rut_socialist_factory = 0.10
@rut_socialist_construction = 0.10
@rut_socialist_consumer = -0.05
@rut_agrarian_stability = 0.08
@rut_agrarian_recruitable = 0.05
@rut_agrarian_supply = -0.05
@rut_emergency_defense = 0.15
@rut_emergency_org = 0.10
@rut_emergency_training = -0.10
@ajx_exposed_stability = -0.10
@ajx_exposed_factory = -0.15
@ajx_exposed_efficiency = -0.10
@ajx_exposed_supply = 0.10
@ajx_mature_stability = 0.05
@ajx_mature_factory = 0.10
@ajx_mature_efficiency = 0.10
@ajx_mature_resources = 0.10
@ajx_constitutional_pp = 0.10
@ajx_constitutional_stability = 0.05
@ajx_constitutional_research = 0.05
@ajx_labor_factory = 0.10
@ajx_labor_efficiency = 0.10
@ajx_labor_consumer = -0.05
@ajx_patron_factory = 0.10
@ajx_patron_efficiency = 0.05
@ajx_patron_pp = -0.05
@ajx_patron_consumer = 0.05
@ajx_neutral_stability = 0.10
@ajx_neutral_infrastructure = 0.10
@ajx_neutral_trade = 0.10
@ajx_neutral_pp = -0.05
@sco_crisis_stability = -0.10
@sco_crisis_dockyard = -0.10
@sco_crisis_supply = 0.10
@sco_mature_stability = 0.10
@sco_mature_dockyard = 0.10
@sco_mature_navy_org = 0.10
@wls_crisis_stability = -0.10
@wls_crisis_construction = -0.10
@wls_crisis_supply = 0.10
@wls_mature_stability = 0.10
@wls_mature_construction = 0.10
@wls_mature_supply = -0.10
@tat_crisis_stability = -0.14
@tat_crisis_supply = 0.16
@tat_crisis_recruitable = -0.03
@tat_mature_stability = 0.10
@tat_mature_supply = -0.08
@tat_mature_defense = 0.10
@tat_constitutional_stability = 0.07
@tat_constitutional_research = 0.06
@tat_constitutional_construction = 0.05
@tat_socialist_factory = 0.10
@tat_socialist_construction = 0.10
@tat_socialist_consumer = -0.05
@tat_agrarian_stability = 0.08
@tat_agrarian_recruitable = 0.05
@tat_agrarian_supply = -0.05
@tat_emergency_defense = 0.15
@tat_emergency_org = 0.10
@tat_emergency_training = -0.10
@bax_crisis_stability = -0.10
@bax_crisis_supply = 0.10
@bax_crisis_defense = -0.06
@bax_mature_stability = 0.08
@bax_mature_supply = -0.06
@bax_mature_defense = 0.10
@bax_constitutional_pp = 0.08
@bax_constitutional_stability = 0.05
@bax_constitutional_research = 0.03
@bax_popular_factory = 0.08
@bax_popular_construction = 0.06
@bax_popular_consumer = -0.04
@bax_traditional_stability = 0.09
@bax_traditional_war_support = 0.08
@bax_traditional_recruitable = 0.04
@bax_emergency_defense = 0.12
@bax_emergency_org = 0.08
@bax_emergency_training = -0.08
@bax_patron_trade = 0.10
@bax_patron_dependency = 0.08
@tra_crisis_stability = -0.10
@tra_crisis_supply = 0.10
@tra_crisis_defense = -0.05
@tra_mature_stability = 0.08
@tra_mature_supply = -0.06
@tra_mature_defense = 0.10
@tra_constitutional_pp = 0.08
@tra_constitutional_stability = 0.05
@tra_constitutional_research = 0.03
@tra_popular_factory = 0.08
@tra_popular_construction = 0.06
@tra_popular_consumer = -0.04
@tra_traditional_stability = 0.09
@tra_traditional_war_support = 0.08
@tra_traditional_recruitable = 0.04
@tra_emergency_defense = 0.12
@tra_emergency_org = 0.08
@tra_emergency_training = -0.08
@tra_patron_trade = 0.10
@tra_patron_dependency = 0.08
@afx_disrupted_stability = -0.10
@afx_disrupted_factory = -0.15
@afx_disrupted_efficiency = -0.10
@afx_disrupted_supply = 0.10
@afx_mature_stability = 0.05
@afx_mature_factory = 0.10
@afx_mature_efficiency = 0.10
@afx_mature_resources = 0.10
@agx_exposed_stability = -0.10
@agx_exposed_construction = -0.10
@agx_exposed_supply = 0.10
@agx_exposed_org = -0.05
@agx_mature_stability = 0.05
@agx_mature_construction = 0.10
@agx_mature_supply = -0.10
@agx_mature_org = 0.05
@constitutional_pp = 0.10
@constitutional_stability = 0.05
@constitutional_research = 0.05
@popular_factory = 0.10
@popular_efficiency = 0.10
@popular_consumer = -0.05
@emergency_org = 0.10
@emergency_planning = 0.10
@emergency_training = -0.10
@emergency_consumer = 0.05
@patron_factory = 0.10
@patron_efficiency = 0.05
@patron_pp = -0.05
@patron_consumer = 0.05

ideas = {
	country = {

		# SOURCE: 006_independence_wave_altai_ideas.txt
		alt_fragmented_mountain_mandate = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = ALT has_independence_wave_altai_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = -0.14 supply_consumption_factor = 0.16 recruitable_population_factor = -0.03 }
		}
		alt_altai_frontier_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = ALT has_independence_wave_altai_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.10 supply_consumption_factor = -0.08 army_defence_factor = 0.10 }
		}
		alt_oyrot_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = ALT has_independence_wave_altai_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { local_resources_factor = 0.08 production_speed_buildings_factor = 0.03 }
		}
		alt_mountain_council_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = ALT has_independence_wave_altai_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.07 research_speed_factor = 0.05 production_speed_buildings_factor = 0.04 }
		}
		alt_land_rights_compact = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = ALT has_independence_wave_altai_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.03 recruitable_population_factor = 0.05 supply_consumption_factor = -0.05 }
		}
		alt_mountain_workers_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = ALT has_independence_wave_altai_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { industrial_capacity_factory = 0.08 production_speed_buildings_factor = 0.08 consumer_goods_factor = -0.05 }
		}
		alt_mountain_emergency_command = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = ALT has_independence_wave_altai_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { army_defence_factor = 0.12 army_org_factor = 0.08 training_time_army_factor = -0.08 stability_factor = -0.04 }
		}

		# SOURCE: 006_independence_wave_banat_ideas.txt
		axx_divided_banat_authority = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = AXX }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @axx_crisis_stability
				supply_consumption_factor = @axx_crisis_supply
				army_defence_factor = @axx_crisis_defense
			}
		}

		axx_banat_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = AXX }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @axx_mature_stability
				supply_consumption_factor = @axx_mature_supply
				army_defence_factor = @axx_mature_defense
			}
		}

		axx_municipal_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = AXX }
			allowed_civil_war = { always = yes }
			modifier = {
				political_power_gain = @axx_constitutional_pp
				stability_factor = @axx_constitutional_stability
				research_speed_factor = @axx_constitutional_research
			}
		}

		axx_mountain_workers_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = AXX }
			allowed_civil_war = { always = yes }
			modifier = {
				industrial_capacity_factory = @axx_popular_factory
				production_speed_buildings_factor = @axx_popular_construction
				consumer_goods_factor = @axx_popular_consumer
			}
		}

		axx_village_autonomy_compact = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = AXX }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @axx_traditional_stability
				war_support_factor = @axx_traditional_war_support
				recruitable_population_factor = @axx_traditional_recruitable
			}
		}

		axx_mountain_defence_commission = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = AXX }
			allowed_civil_war = { always = yes }
			modifier = {
				army_defence_factor = @axx_emergency_defense
				army_org_factor = @axx_emergency_org
				training_time_army_factor = @axx_emergency_training
			}
		}

		axx_patron_rail_compact = {
			picture = independence_wave_recognition_diplomacy
			allowed = { original_tag = AXX }
			allowed_civil_war = { always = yes }
			modifier = {
				trade_opinion_factor = @axx_patron_trade
				puppet_cost_factor = @axx_patron_dependency
			}
		}

		# SOURCE: 006_independence_wave_bashkiria_ideas.txt
		bsk_fragmented_frontier_mandate = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BSK }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = -0.14 supply_consumption_factor = 0.16 recruitable_population_factor = -0.03 }
		}
		bsk_bashkir_frontier_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BSK }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.10 supply_consumption_factor = -0.08 army_defence_factor = 0.10 }
		}
		bsk_oilfield_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BSK }
			allowed_civil_war = { always = yes }
			modifier = { local_resources_factor = 0.08 production_speed_buildings_factor = 0.03 }
		}
		bsk_congress_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BSK }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.07 research_speed_factor = 0.05 production_speed_buildings_factor = 0.04 }
		}
		bsk_steppe_land_compact = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BSK }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.03 recruitable_population_factor = 0.05 supply_consumption_factor = -0.05 }
		}
		bsk_oilfield_workers_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BSK }
			allowed_civil_war = { always = yes }
			modifier = { industrial_capacity_factory = 0.08 production_speed_buildings_factor = 0.08 consumer_goods_factor = -0.05 }
		}
		bsk_frontier_emergency_command = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BSK }
			allowed_civil_war = { always = yes }
			modifier = { army_defence_factor = 0.12 army_org_factor = 0.08 training_time_army_factor = -0.08 stability_factor = -0.04 }
		}

		# SOURCE: 006_independence_wave_bosnia_ideas.txt
		bos_divided_drina_authority = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BOS }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bos_crisis_stability
				supply_consumption_factor = @bos_crisis_supply
				army_defence_factor = @bos_crisis_defense
			}
		}

		bos_drina_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BOS }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bos_mature_stability
				supply_consumption_factor = @bos_mature_supply
				army_defence_factor = @bos_mature_defense
			}
		}

		bos_sarajevo_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BOS }
			allowed_civil_war = { always = yes }
			modifier = {
				political_power_gain = @bos_constitutional_pp
				stability_factor = @bos_constitutional_stability
				research_speed_factor = @bos_constitutional_research
			}
		}

		bos_drina_workers_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BOS }
			allowed_civil_war = { always = yes }
			modifier = {
				industrial_capacity_factory = @bos_popular_factory
				production_speed_buildings_factor = @bos_popular_construction
				consumer_goods_factor = @bos_popular_consumer
			}
		}

		bos_cantonal_compact = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BOS }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bos_traditional_stability
				war_support_factor = @bos_traditional_war_support
				recruitable_population_factor = @bos_traditional_recruitable
			}
		}

		bos_mountain_command = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BOS }
			allowed_civil_war = { always = yes }
			modifier = {
				army_defence_factor = @bos_emergency_defense
				army_org_factor = @bos_emergency_org
				training_time_army_factor = @bos_emergency_training
			}
		}

		bos_corridor_accord = {
			picture = independence_wave_recognition_diplomacy
			allowed = { original_tag = BOS }
			allowed_civil_war = { always = yes }
			modifier = {
				trade_opinion_factor = @bos_patron_trade
				puppet_cost_factor = @bos_patron_dependency
			}
		}

		# SOURCE: 006_independence_wave_brittany_ideas.txt
		bri_divided_ports_and_language_state = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BRI }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bri_crisis_stability
				industrial_capacity_dockyard = @bri_crisis_dockyard
				supply_consumption_factor = @bri_crisis_supply
				convoy_escort_efficiency = @bri_crisis_convoy
			}
		}

		bri_bilingual_maritime_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BRI }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bri_mature_stability
				industrial_capacity_dockyard = @bri_mature_dockyard
				production_speed_dockyard_factor = @bri_mature_dockyard_speed
				convoy_escort_efficiency = @bri_mature_convoy
			}
		}

		bri_federalist_civic_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BRI }
			allowed_civil_war = { always = yes }
			modifier = {
				political_power_gain = @bri_constitutional_pp
				stability_factor = @bri_constitutional_stability
				research_speed_factor = @bri_constitutional_research
			}
		}

		bri_dock_rail_fisheries_councils = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BRI }
			allowed_civil_war = { always = yes }
			modifier = {
				industrial_capacity_factory = @bri_labor_factory
				industrial_capacity_dockyard = @bri_labor_dockyard
				consumer_goods_factor = @bri_labor_consumer
			}
		}

		bri_regionalist_cultural_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BRI }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bri_traditional_stability
				trade_opinion_factor = @bri_traditional_trade
				conscription_factor = @bri_traditional_recruitable
			}
		}

		bri_joint_coastal_command = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BRI }
			allowed_civil_war = { always = yes }
			modifier = {
				army_defence_factor = @bri_emergency_defense
				naval_coordination = @bri_emergency_coordination
				political_power_gain = @bri_emergency_pp
			}
		}

		bri_protected_ports_mandate = {
			picture = independence_wave_patron_pressure
			allowed = { original_tag = BRI }
			allowed_civil_war = { always = yes }
			modifier = {
				industrial_capacity_dockyard = @bri_patron_dockyard
				convoy_escort_efficiency = @bri_patron_convoy
				political_power_gain = @bri_patron_pp
				consumer_goods_factor = @bri_patron_consumer
			}
		}

		# SOURCE: 006_independence_wave_buryatia_ideas.txt
		bya_fragmented_frontier_mandate = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BYA has_independence_wave_bya_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = -0.14 supply_consumption_factor = 0.16 recruitable_population_factor = -0.03 }
		}
		bya_buryat_frontier_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BYA has_independence_wave_bya_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.10 supply_consumption_factor = -0.08 army_defence_factor = 0.10 }
		}
		bya_baikal_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BYA has_independence_wave_bya_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { local_resources_factor = 0.08 production_speed_buildings_factor = 0.03 }
		}
		bya_council_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BYA has_independence_wave_bya_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.07 research_speed_factor = 0.05 production_speed_buildings_factor = 0.04 }
		}
		bya_steppe_land_compact = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BYA has_independence_wave_bya_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { stability_factor = 0.03 recruitable_population_factor = 0.05 supply_consumption_factor = -0.05 }
		}
		bya_baikal_workers_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BYA has_independence_wave_bya_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { industrial_capacity_factory = 0.08 production_speed_buildings_factor = 0.08 consumer_goods_factor = -0.05 }
		}
		bya_frontier_emergency_command = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BYA has_independence_wave_bya_identity_rights_clearance = yes }
			allowed_civil_war = { always = yes }
			modifier = { army_defence_factor = 0.12 army_org_factor = 0.08 training_time_army_factor = -0.08 stability_factor = -0.04 }
		}

		# SOURCE: 006_independence_wave_catalonia_ideas.txt
		cat_contested_assembly = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = CAT }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @cat_crisis_stability
				supply_consumption_factor = @cat_crisis_supply
				industrial_capacity_factory = @cat_crisis_factory
			}
		}

		cat_industrial_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = CAT }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @cat_mature_stability
				supply_consumption_factor = @cat_mature_supply
				industrial_capacity_factory = @cat_mature_factory
			}
		}

		cat_constitutional_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = CAT }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @cat_constitutional_stability
				research_speed_factor = @cat_constitutional_research
				trade_opinion_factor = @cat_constitutional_trade
			}
		}

		cat_workers_board = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = CAT }
			allowed_civil_war = { always = yes }
			modifier = {
				industrial_capacity_factory = @cat_workers_factory
				production_speed_buildings_factor = @cat_workers_construction
				consumer_goods_factor = @cat_workers_consumer
			}
		}

		cat_municipal_covenant = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = CAT }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @cat_traditional_stability
				war_support_factor = @cat_traditional_war_support
				recruitable_population_factor = @cat_traditional_recruitable
			}
		}

		cat_security_command = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = CAT }
			allowed_civil_war = { always = yes }
			modifier = {
				army_defence_factor = @cat_emergency_defense
				army_org_factor = @cat_emergency_org
				training_time_army_factor = @cat_emergency_training
			}
		}

		cat_patron_trade_mission = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = CAT }
			allowed_civil_war = { always = yes }
			modifier = {
				trade_opinion_factor = @cat_patron_trade
				stability_factor = @cat_patron_stability
				industrial_capacity_factory = @cat_patron_factory
			}
		}

		# SOURCE: 006_independence_wave_epirus_ideas.txt
		bbx_divided_epirus_authority = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BBX }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bbx_crisis_stability
				supply_consumption_factor = @bbx_crisis_supply
				army_defence_factor = @bbx_crisis_defense
			}
		}

		bbx_epirus_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BBX }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bbx_mature_stability
				supply_consumption_factor = @bbx_mature_supply
				army_defence_factor = @bbx_mature_defense
			}
		}

		bbx_municipal_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BBX }
			allowed_civil_war = { always = yes }
			modifier = {
				political_power_gain = @bbx_constitutional_pp
				stability_factor = @bbx_constitutional_stability
				research_speed_factor = @bbx_constitutional_research
			}
		}

		bbx_mountain_workers_council = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = BBX }
			allowed_civil_war = { always = yes }
			modifier = {
				industrial_capacity_factory = @bbx_popular_factory
				production_speed_buildings_factor = @bbx_popular_construction
				consumer_goods_factor = @bbx_popular_consumer
			}
		}

		bbx_community_autonomy_compact = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = BBX }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @bbx_traditional_stability
				war_support_factor = @bbx_traditional_war_support
				recruitable_population_factor = @bbx_traditional_recruitable
			}
		}

		bbx_mountain_defence_commission = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = BBX }
			allowed_civil_war = { always = yes }
			modifier = {
				army_defence_factor = @bbx_emergency_defense
				army_org_factor = @bbx_emergency_org
				training_time_army_factor = @bbx_emergency_training
			}
		}

		bbx_patron_pass_compact = {
			picture = independence_wave_recognition_diplomacy
			allowed = { original_tag = BBX }
			allowed_civil_war = { always = yes }
			modifier = {
				trade_opinion_factor = @bbx_patron_trade
				puppet_cost_factor = @bbx_patron_dependency
			}
		}

		# SOURCE: 006_independence_wave_far_eastern_ideas.txt
		fer_fragmented_railway_mandate = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = FER has_country_flag = independence_wave_iw_057_identity_rights_cleared }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = -0.15
				supply_consumption_factor = 0.14
				recruitable_population_factor = -0.04
			}
		}

		fer_railway_compact = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = FER has_country_flag = independence_wave_iw_057_identity_rights_cleared }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = 0.09
				supply_consumption_factor = -0.07
				army_defence_factor = 0.09
			}
		}

		fer_railway_council_charter = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = FER has_country_flag = independence_wave_iw_057_identity_rights_cleared }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = 0.07
				research_speed_factor = 0.04
				production_speed_buildings_factor = 0.05
			}
		}

		fer_coastal_councils = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = FER has_country_flag = independence_wave_iw_057_identity_rights_cleared }
			allowed_civil_war = { always = yes }
			modifier = {
				industrial_capacity_factory = 0.07
				production_speed_buildings_factor = 0.07
				consumer_goods_factor = -0.04
			}
		}

		fer_community_register = {
			picture = independence_wave_founding_identity
			allowed = { original_tag = FER has_country_flag = independence_wave_iw_057_identity_rights_cleared }
			allowed_civil_war = { always = yes }
			modifier = {
				local_resources_factor = 0.06
				stability_factor = 0.03
				production_speed_buildings_factor = 0.03
			}
		}

		fer_railway_charter_compact = {
			picture = independence_wave_improvised_government
			allowed = { original_tag = FER has_country_flag = independence_wave_iw_057_identity_rights_cleared }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = 0.08
				recruitable_population_factor = 0.04
				supply_consumption_factor = -0.04
			}
		}

		fer_coastal_emergency_command = {
			picture = independence_wave_fragmented_command
			allowed = { original_tag = FER has_country_flag = independence_wave_iw_057_identity_rights_cleared }
			allowed_civil_war = { always = yes }
			modifier = {
				army_defence_factor = 0.13
				army_org_factor = 0.07
				training_time_army_factor = -0.08
				stability_factor = -0.04
			}
		}

		# SOURCE: 006_independence_wave_form01_02_04_ideas.txt
		independence_wave_form01_provisional_congress = {
			picture = independence_wave_improvised_government
			allowed = { OR = { original_tag = SCO original_tag = WLS original_tag = BRI } }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_PROVISIONAL_STABILITY
				consumer_goods_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_PROVISIONAL_CONSUMER_GOODS
			}
		}

		independence_wave_form01_coordinated_congress = {
			picture = independence_wave_founding_identity
			allowed = { OR = { original_tag = SCO original_tag = WLS original_tag = BRI } }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_COORDINATED_STABILITY
				recruitable_population_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_CELTIC_RECRUITABLE_POPULATION
				army_defence_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_CELTIC_DEFENCE
			}
		}

		independence_wave_form01_integrated_congress = {
			picture = independence_wave_founding_identity
			allowed = { OR = { original_tag = SCO original_tag = WLS original_tag = BRI } }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_INTEGRATED_STABILITY
				industrial_capacity_factory = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_INTEGRATED_FACTORY
				recruitable_population_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_CELTIC_RECRUITABLE_POPULATION
				army_defence_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_CELTIC_DEFENCE
			}
		}

		independence_wave_form02_provisional_union = {
			picture = independence_wave_improvised_government
			allowed = { OR = { original_tag = ICE original_tag = AKX original_tag = GZX original_tag = SCO } }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_PROVISIONAL_STABILITY
				consumer_goods_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_PROVISIONAL_CONSUMER_GOODS
			}
		}

		independence_wave_form02_coordinated_union = {
			picture = independence_wave_founding_identity
			allowed = { OR = { original_tag = ICE original_tag = AKX original_tag = GZX original_tag = SCO } }
			allowed_civil_war = { always = yes }
			modifier = {
				stability_factor = @CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_COORDINATED_STABILITY
