asset_key,asset_type,family,intended_in_game_use,source_mode,target_size,required_variants,visual_direction,avoid,suggested_filename,suggested_sprite_name,final_game_folder,reference_folder,animation_brief,status
decision_accession_clause,decision icon,Decisions,32x32 icon family for accession clause,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_accession_clause.dds,GFX_decision_012_africa_accession_clause,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_accession_referendum,decision icon,Decisions,32x32 icon family for accession referendum,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_accession_referendum.dds,GFX_decision_012_africa_accession_referendum,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_regional_congress,decision icon,Decisions,32x32 icon family for regional congress,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_regional_congress.dds,GFX_decision_012_africa_regional_congress,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_representation_concession,decision icon,Decisions,32x32 icon family for representation concession,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_representation_concession.dds,GFX_decision_012_africa_representation_concession,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_claim_settlement,decision icon,Decisions,32x32 icon family for claim settlement,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_claim_settlement.dds,GFX_decision_012_africa_claim_settlement,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_integration_project,decision icon,Decisions,32x32 icon family for integration project,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_integration_project.dds,GFX_decision_012_africa_integration_project,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_coercive_action,decision icon,Decisions,32x32 icon family for coercive action,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_coercive_action.dds,GFX_decision_012_africa_coercive_action,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_departure_response,decision icon,Decisions,32x32 icon family for departure response,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_departure_response.dds,GFX_decision_012_africa_departure_response,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_rival_bloc_counteraction,decision icon,Decisions,32x32 icon family for rival bloc counteraction,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_rival_bloc_counteraction.dds,GFX_decision_012_africa_rival_bloc_counteraction,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_resource_project,decision icon,Decisions,32x32 icon family for resource project,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_resource_project.dds,GFX_decision_012_africa_resource_project,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_corridor_project,decision icon,Decisions,32x32 icon family for corridor project,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_corridor_project.dds,GFX_decision_012_africa_corridor_project,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_diaspora_invitation,decision icon,Decisions,32x32 icon family for diaspora invitation,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_diaspora_invitation.dds,GFX_decision_012_africa_diaspora_invitation,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_diaspora_transport,decision icon,Decisions,32x32 icon family for diaspora transport,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_diaspora_transport.dds,GFX_decision_012_africa_diaspora_transport,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_resettlement_support,decision icon,Decisions,32x32 icon family for resettlement support,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_resettlement_support.dds,GFX_decision_012_africa_resettlement_support,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_disease_containment,decision icon,Decisions,32x32 icon family for disease containment,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_disease_containment.dds,GFX_decision_012_africa_disease_containment,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_ecological_bargain,decision icon,Decisions,32x32 icon family for ecological bargain,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_ecological_bargain.dds,GFX_decision_012_africa_ecological_bargain,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_disaster_retaliation,decision icon,Decisions,32x32 icon family for disaster retaliation,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_disaster_retaliation.dds,GFX_decision_012_africa_disaster_retaliation,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_strange_unit_recruitment,decision icon,Decisions,32x32 icon family for strange unit recruitment,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_strange_unit_recruitment.dds,GFX_decision_012_africa_strange_unit_recruitment,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_scramble_recognition,decision icon,Decisions,32x32 icon family for scramble recognition,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_scramble_recognition.dds,GFX_decision_012_africa_scramble_recognition,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_scramble_sanctions,decision icon,Decisions,32x32 icon family for scramble sanctions,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_scramble_sanctions.dds,GFX_decision_012_africa_scramble_sanctions,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_scramble_mobilisation,decision icon,Decisions,32x32 icon family for scramble mobilisation,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_scramble_mobilisation.dds,GFX_decision_012_africa_scramble_mobilisation,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_continent_sponsorship,decision icon,Decisions,32x32 icon family for continent sponsorship,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_continent_sponsorship.dds,GFX_decision_012_africa_continent_sponsorship,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_continent_union,decision icon,Decisions,32x32 icon family for continent union,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_continent_union.dds,GFX_decision_012_africa_continent_union,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_terminal_war_action,decision icon,Decisions,32x32 icon family for terminal war action,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_terminal_war_action.dds,GFX_decision_012_africa_terminal_war_action,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
focus_family_host_proclamation,focus icon family,Focus icons,coordinated family for final focuses covering host proclamation,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_host_proclamation_<focus_slug>.dds,GFX_goal_012_africa_host_proclamation_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_host_legitimacy,focus icon family,Focus icons,coordinated family for final focuses covering host legitimacy,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_host_legitimacy_<focus_slug>.dds,GFX_goal_012_africa_host_legitimacy_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_charter_law,focus icon family,Focus icons,coordinated family for final focuses covering charter law,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_charter_law_<focus_slug>.dds,GFX_goal_012_africa_charter_law_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_continental_representation,focus icon family,Focus icons,coordinated family for final focuses covering continental representation,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_continental_representation_<focus_slug>.dds,GFX_goal_012_africa_continental_representation_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_protection_guarantee,focus icon family,Focus icons,coordinated family for final focuses covering protection guarantee,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_protection_guarantee_<focus_slug>.dds,GFX_goal_012_africa_protection_guarantee_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_aid_and_relief,focus icon family,Focus icons,coordinated family for final focuses covering aid and relief,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_aid_and_relief_<focus_slug>.dds,GFX_goal_012_africa_aid_and_relief_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_volunteer_intervention,focus icon family,Focus icons,coordinated family for final focuses covering volunteer intervention,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_volunteer_intervention_<focus_slug>.dds,GFX_goal_012_africa_volunteer_intervention_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_federal_accession,focus icon family,Focus icons,coordinated family for final focuses covering federal accession,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_federal_accession_<focus_slug>.dds,GFX_goal_012_africa_federal_accession_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_crown_charter,focus icon family,Focus icons,coordinated family for final focuses covering crown charter,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_crown_charter_<focus_slug>.dds,GFX_goal_012_africa_crown_charter_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_republican_citizenship,focus icon family,Focus icons,coordinated family for final focuses covering republican citizenship,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_republican_citizenship_<focus_slug>.dds,GFX_goal_012_africa_republican_citizenship_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_peoples_union,focus icon family,Focus icons,coordinated family for final focuses covering peoples union,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_peoples_union_<focus_slug>.dds,GFX_goal_012_africa_peoples_union_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_military_command,focus icon family,Focus icons,coordinated family for final focuses covering military command,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_military_command_<focus_slug>.dds,GFX_goal_012_africa_military_command_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_confederal_sovereignty,focus icon family,Focus icons,coordinated family for final focuses covering confederal sovereignty,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_confederal_sovereignty_<focus_slug>.dds,GFX_goal_012_africa_confederal_sovereignty_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_regional_congress,focus icon family,Focus icons,coordinated family for final focuses covering regional congress,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_regional_congress_<focus_slug>.dds,GFX_goal_012_africa_regional_congress_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_restored_polity,focus icon family,Focus icons,coordinated family for final focuses covering restored polity,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_restored_polity_<focus_slug>.dds,GFX_goal_012_africa_restored_polity_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_claim_overlap_settlement,focus icon family,Focus icons,coordinated family for final focuses covering claim overlap settlement,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_claim_overlap_settlement_<focus_slug>.dds,GFX_goal_012_africa_claim_overlap_settlement_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_local_processing,focus icon family,Focus icons,coordinated family for final focuses covering local processing,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_local_processing_<focus_slug>.dds,GFX_goal_012_africa_local_processing_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_resource_sovereignty,focus icon family,Focus icons,coordinated family for final focuses covering resource sovereignty,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_resource_sovereignty_<focus_slug>.dds,GFX_goal_012_africa_resource_sovereignty_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_food_security,focus icon family,Focus icons,coordinated family for final focuses covering food security,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_food_security_<focus_slug>.dds,GFX_goal_012_africa_food_security_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_rail_corridor,focus icon family,Focus icons,coordinated family for final focuses covering rail corridor,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_rail_corridor_<focus_slug>.dds,GFX_goal_012_africa_rail_corridor_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_river_corridor,focus icon family,Focus icons,coordinated family for final focuses covering river corridor,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_river_corridor_<focus_slug>.dds,GFX_goal_012_africa_river_corridor_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_road_corridor,focus icon family,Focus icons,coordinated family for final focuses covering road corridor,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_road_corridor_<focus_slug>.dds,GFX_goal_012_africa_road_corridor_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_port_corridor,focus icon family,Focus icons,coordinated family for final focuses covering port corridor,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_port_corridor_<focus_slug>.dds,GFX_goal_012_africa_port_corridor_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_air_corridor,focus icon family,Focus icons,coordinated family for final focuses covering air corridor,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_air_corridor_<focus_slug>.dds,GFX_goal_012_africa_air_corridor_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_army_common_reserve,focus icon family,Focus icons,coordinated family for final focuses covering army common reserve,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_army_common_reserve_<focus_slug>.dds,GFX_goal_012_africa_army_common_reserve_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_air_defence,focus icon family,Focus icons,coordinated family for final focuses covering air defence,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_air_defence_<focus_slug>.dds,GFX_goal_012_africa_air_defence_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_naval_defence,focus icon family,Focus icons,coordinated family for final focuses covering naval defence,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_naval_defence_<focus_slug>.dds,GFX_goal_012_africa_naval_defence_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_intelligence_counter_subversion,focus icon family,Focus icons,coordinated family for final focuses covering intelligence counter subversion,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_intelligence_counter_subversion_<focus_slug>.dds,GFX_goal_012_africa_intelligence_counter_subversion_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_diaspora_travel,focus icon family,Focus icons,coordinated family for final focuses covering diaspora travel,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_diaspora_travel_<focus_slug>.dds,GFX_goal_012_africa_diaspora_travel_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_diaspora_citizenship,focus icon family,Focus icons,coordinated family for final focuses covering diaspora citizenship,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_diaspora_citizenship_<focus_slug>.dds,GFX_goal_012_africa_diaspora_citizenship_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_diaspora_skills,focus icon family,Focus icons,coordinated family for final focuses covering diaspora skills,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_diaspora_skills_<focus_slug>.dds,GFX_goal_012_africa_diaspora_skills_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_controlled_pool
focus_family_rival_bloc,focus icon family,Focus icons,coordinated family for final focuses covering rival bloc,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_rival_bloc_<focus_slug>.dds,GFX_goal_012_africa_rival_bloc_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,installed_runtime
focus_family_scramble_diplomacy,focus icon family,Focus icons,coordinated family for final focuses covering scramble diplomacy,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_scramble_diplomacy_<focus_slug>.dds,GFX_goal_012_africa_scramble_diplomacy_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_scramble_defence,focus icon family,Focus icons,coordinated family for final focuses covering scramble defence,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_scramble_defence_<focus_slug>.dds,GFX_goal_012_africa_scramble_defence_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_high_chaos_nature,focus icon family,Focus icons,coordinated family for final focuses covering high chaos nature,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_high_chaos_nature_<focus_slug>.dds,GFX_goal_012_africa_high_chaos_nature_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_high_chaos_nonhuman,focus icon family,Focus icons,coordinated family for final focuses covering high chaos nonhuman,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_high_chaos_nonhuman_<focus_slug>.dds,GFX_goal_012_africa_high_chaos_nonhuman_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_high_chaos_disease,focus icon family,Focus icons,coordinated family for final focuses covering high chaos disease,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_high_chaos_disease_<focus_slug>.dds,GFX_goal_012_africa_high_chaos_disease_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
