"package_id","working_name","resolved_tag","automatic_pool_disposition","readiness_verdict","anchor_binding_mode","anchor_state_ids","anchor_state_names","compact_state_ids","compact_state_names","extended_state_ids","extended_state_names","reservation_group","baseline_state_ids","baseline_state_names","rebind_status","initial_owner_by_state","initial_owner_capitals","host_survival_implication","binding_reason","source_evidence","installed_state_history_files","missing_current_state_ids"
"IW-057","Far Eastern Republic","FER","automatic_pool_ready_if_not_living","ready_if_tag_not_living","choose_one_ordered","408|409","Vladivostok|Khabarovsk","408|409","Vladivostok|Khabarovsk","","","RG-408-409","408|409","Vladivostok | Khabarovsk","unchanged_current_ids","408=SOV|409=SOV","SOV=219","Alternatives evaluated independently: 408=SOV retains at least one 1936 state; 409=SOV retains at least one 1936 state. Runtime ownership remains authoritative.","Vladivostok and Khabarovsk are ordered alternative anchors, not a cumulative compact set.","Installed state history and STATE_n localisation checked.","408-Vladivostok.txt|409-Khabarovsk.txt",""
"IW-058","Assyria","ASY","high_chaos_only","ready_high_chaos","fixed_anchor_compact","676","Mosul","676","Mosul","","","RG-NORTHERN-MESOPOTAMIA","676","Mosul","unchanged_current_ids","676=IRQ","IRQ=291","IRQ retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","676-Mosul.txt",""
"IW-059","Mesopotamia","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","291","Baghdad","291","Baghdad","","","RG-LEVANT-MESOPOTAMIA-COARSE","291","Baghdad","unchanged_current_ids","291=IRQ","IRQ=291","IRQ anchor contains protected capital state 291: skip/reject while protection applies; IRQ retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","291-Iraq.txt",""
"IW-060","Kurdistan","KUR","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","1001","Kurdistan","1001","Kurdistan","","","RG-NORTHERN-MESOPOTAMIA","421","Kurdistan","rebound_to_current_split","1001=PER","PER=266","PER retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Current state 1001 is the dedicated Kurdistan anchor; broader KUR cores are not granted automatically.","KUR installed cores include state 1001. Installed state history and STATE_n localisation were also checked.","1001-Kurdistan.txt",""
"IW-061","Luristan","CIX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-LURISTAN","","Luristan map group, current-map state required","unbound_current_map","","","Not selectable: no authoritative current-map binding.","Luristan map group, current-map state required","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-062","Khuzestan or Arabistan","CJX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","413","Khuzestan","413","Khuzestan","","","RG-413","413","Khuzestan","unchanged_current_ids","413=PER","PER=266","PER retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","413-Khuzestan.txt",""
"IW-063","Bakhtiari","CKX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-BAKHTIARI","","Bakhtiari highland map group, current-map state required","unbound_current_map","","","Not selectable: no authoritative current-map binding.","Bakhtiari highland map group, current-map state required","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-064","Circassia","CLX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","827","Kabardino-Balkaria","827","Kabardino-Balkaria","","","RG-234","234","Krasnodar, only with a distinct northwest Caucasus split","rebound_to_current_split","827=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Kabardino-Balkaria is the installed northwest Caucasus split used for the high-chaos Circassian package.","Current state 827 is Kabardino-Balkaria. Installed state history and STATE_n localisation were also checked.","827 - Kabardino-Balkaria.txt",""
"IW-065","Chechnya","CIN","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","821","Chechnya-Ingushetia","821","Chechnya-Ingushetia","","","RG-232","232","Grozny","rebound_to_current_split","821=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Chechnya-Ingushetia state.","CIN installed core is state 821. Installed state history and STATE_n localisation were also checked.","821 - Chenchnya-Ingushetia.txt",""
"IW-066","Dagestan","DAG","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","232","Dagestan","232","Dagestan","","","RG-DAGESTAN","","Dagestan map group, current-map state required","new_current_state_binding","232=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Dagestan state.","DAG installed core is state 232. Installed state history and STATE_n localisation were also checked.","232-Grozny.txt",""
"IW-067","Lazistan","COX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","354","Trabzon","354","Trabzon","","","RG-LAZISTAN","","Lazistan or Trabzon coastal map group, current-map state required","new_current_state_binding","354=TUR","TUR=49","TUR retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Trabzon is the only defensible installed Lazistan coast anchor; it collides cross-group with Pontus.","Current state 354 is Trabzon. Installed state history and STATE_n localisation were also checked.","354-Trabzon.txt",""
"IW-068","Pontus","CPX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","354","Trabzon","354","Trabzon","","","RG-PONTUS","","Pontic or Trabzon coastal map group, current-map state required","new_current_state_binding","354=TUR","TUR=49","TUR retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Trabzon is the only defensible installed Pontic coast anchor; it collides cross-group with Lazistan.","Current state 354 is Trabzon. Installed state history and STATE_n localisation were also checked.","354-Trabzon.txt",""
"IW-069","Cilicia","CQX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","345","Mersin","345","Mersin","","","RG-CILICIA","","Cilicia or Adana map group, current-map state required","new_current_state_binding","345=TUR","TUR=49","TUR retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Mersin is the current Cilician coast anchor; broad Malatya state 344 is not added.","Mersin VP 10056 is in state 345. Installed state history and STATE_n localisation were also checked.","345-Mersin.txt",""
"IW-070","Armenia","ARM","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","230","Armenia","230","Armenia","","","RG-230","230","Armenia","unchanged_current_ids","230=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","230-Armenia.txt",""
"IW-071","Georgia","GEO","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","231","Georgia","231","Georgia","","","RG-231","231","Georgia","unchanged_current_ids","231=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","231-Georgia.txt",""
"IW-072","Azerbaijan","AZR","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","229","Azerbaijan","229","Azerbaijan","","","RG-229","229","Azerbaijan","unchanged_current_ids","229=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","229-baku.txt",""
"IW-073","Hejaz","CUX","automatic_pool_ready","ready_automatic","fixed_anchor_compact","679","Madinah","679|856","Madinah|Asir-Makkah","855","Tabuk","RG-ARABIA-HEJAZ-NAJD","679","Hejaz","expanded_with_current_splits","679=SAU|855=SAU|856=SAU","SAU=292","SAU retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Madinah and Asir-Makkah form the compact Hejaz set; Tabuk is optional extension.","Medina VP 12758 is in state 679; Mecca VP 5037 is in state 856. Installed state history and STATE_n localisation were also checked.","679-Hejaz.txt|855-Tabuk.txt|856-Asir-Makkah.txt",""
"IW-074","Najd","CVX","formable_or_route_only","route_only_bound","fixed_anchor_compact","292","Nejd","292|857","Nejd|Al-Qassim","","","RG-ARABIA-HEJAZ-NAJD","292","Nejd, normally protected because it contains the Saudi capital","expanded_with_current_splits","292=SAU|857=SAU","SAU=292","SAU anchor contains protected capital state 292: skip/reject while protection applies; SAU retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The route-only Najd package uses Nejd and Al-Qassim and remains protected by the Saudi capital gate.","Installed state history and STATE_n localisation checked.","292-Saudi Arabia.txt|857-Ha'il.txt",""
"IW-075","Jabal Shammar","CWX","high_chaos_only","disabled_no_unique_current_state","unbound","","","","","","","RG-ARABIA-HEJAZ-NAJD","292","Nejd, with a Ha'il substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","Current Nejd is still too broad and the installed map has no unique Ha'il or Jabal Shammar state.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-076","Hadhramaut","CXX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","659","South Yemen","659","South Yemen","","","RG-HADHRAMAUT","","Hadhramaut map group, current-map state required","new_current_state_binding","659=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","South Yemen is the installed map group containing the Hadhramaut capital location.","Al Mukalla VP 2029 is in state 659. Installed state history and STATE_n localisation were also checked.","659-Arabian UK 2.txt",""
"IW-077","Mahra","CYX","scenario_variant_only","scenario_only_unbound","unbound","","","","","","","RG-MAHRA","","Mahra map group, current-map state required","unbound_current_map","","","Not selectable: no authoritative current-map binding.","Mahra map group, current-map state required","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-078","Oman Imamate","IMO","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","1015","Oman","1015","Oman","","","RG-294","294","Oman, with a distinct interior imamate state required","rebound_to_current_split","1015=OMA","OMA=294","OMA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map splits interior Oman from Muscat.","Current state 1015 is Oman; IMO installed core is state 1015. Installed state history and STATE_n localisation were also checked.","1015 - Interior Oman.txt",""
"IW-079","Druze Mountain","DAX","specific_community_variant_only","specific_variant_only_unbound","unbound","","","","","","","RG-LEVANT-MESOPOTAMIA-COARSE","554","Damascus, with a Jabal al-Druze substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Jabal al-Druze state; broad Damascus state 554 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-080","Alawite State","DBX","specific_community_variant_only","specific_variant_only_unbound","unbound","","","","","","","RG-LEVANT-MESOPOTAMIA-COARSE","677","Aleppo, with a distinct Syrian coastal state required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Syrian coastal or Alawite state; broad Aleppo state 677 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-081","Lebanon","LEB","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","553","Lebanon","553","Lebanon","","","RG-LEVANT-MESOPOTAMIA-COARSE","553","Lebanon","unchanged_current_ids","553=LEB","LEB=553","LEB anchor contains protected capital state 553: skip/reject while protection applies; LEB anchor would erase the 1936 host: reject. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","553-Lebanon.txt",""
"IW-082","Palestine","PAL","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","454","Palestine","454","Palestine","","","RG-LEVANT-MESOPOTAMIA-COARSE","454","Palestine","unchanged_current_ids","454=PAL","PAL=454","PAL anchor contains protected capital state 454: skip/reject while protection applies; PAL anchor would erase the 1936 host: reject. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","454-Israel.txt",""
"IW-083","Rif","RIF","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","290","Spanish Africa","290","Spanish Africa","","","RG-MAGHREB-MOUNTAIN","","Rif map group, use the registered tag core set in the installed build","new_current_state_binding","290=SPR","SPR=41","SPR retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The registered Rif tag's installed core identifies the usable map state despite its broad display name.","RIF installed core is state 290. Installed state history and STATE_n localisation were also checked.","290-Spanish Africa.txt",""
"IW-084","Kabylia","DFX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-MAGHREB-MOUNTAIN","460","Constantine, with a Kabyle mountain substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Kabyle mountain state; broad Constantine state 460 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-085","Cyrenaica","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","450","Benghasi","450|451|663","Benghasi|Derna|Cyrenaica","","","RG-663","663","Cyrenaica","expanded_with_current_splits","450=ITA|451=ITA|663=ITA","ITA=2","ITA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Benghasi, Derna, and Cyrenaica form the compact package.","Benghasi VP evidence and the current Cyrenaican split support states 450, 451, and 663. Installed state history and STATE_n localisation were also checked.","450-Benghasi.txt|451-Derna.txt|663-Cyrenaica.txt",""
"IW-086","Tripolitania","DHX","automatic_pool_ready","ready_automatic","fixed_anchor_compact","448","Tripoli","448|661","Tripoli|Tripolitania","662","Sirte","RG-661","661","Tripolitania","expanded_with_current_splits","448=ITA|661=ITA|662=ITA","ITA=2","ITA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Tripoli and Tripolitania form the compact set; Sirte is optional extension.","Tripoli VP 1149 is in state 448. Installed state history and STATE_n localisation were also checked.","448-Tripoli.txt|661-Tripolitania.txt|662-Sirte.txt",""
"IW-087","Fezzan","HYX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-FEZZAN","","Fezzan map group, current-map state required","unbound_current_map","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Fezzan state.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-088","Tuareg Confederation","DJX","specific_community_variant_only","specific_variant_only_unbound","unbound","","","","","","","RG-SAHARA-CONFEDERATIONS","514|515","Algerian Desert | Southern Sahara, only after a named confederation package is selected","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The accepted package requires a named Tuareg confederation; broad desert states 514 and 515 are not a substitute.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-089","Darfur","DKX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","767","North Darfur","767|887","North Darfur|South Darfur","","","RG-549","549","Sudan, with a distinct Darfur state required","rebound_to_current_split","767=ENG|887=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","North and South Darfur replace the old broad Sudan baseline.","Current states 767 and 887 are North Darfur and South Darfur. Installed state history and STATE_n localisation were also checked.","767-North Darfur.txt|887-South Darfur.txt",""
"IW-090","Wadai","DLX","high_chaos_only","disabled_no_unique_current_state","unbound","","","","","","","RG-SAHARA-CONFEDERATIONS","","Wadai or Ouaddai map group, current-map state required","unbound_current_map","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Wadai or Ouaddai state.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-091","Toubou state","DMX","specific_community_variant_only","specific_variant_only_bound","fixed_anchor_compact","775","B.E.T.","775","B.E.T.","","","RG-SAHARA-CONFEDERATIONS","","Tibesti or Toubou map group, current-map state required","new_current_state_binding","775=FRA","FRA=16","FRA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","B.E.T. is the installed Tibesti map state; the package remains specific-community-only.","Current state 775 is B.E.T. Installed state history and STATE_n localisation were also checked.","775-B.E.T..txt",""
"IW-092","Amazigh Atlas state","DNX","specific_community_variant_only","specific_variant_only_unbound","unbound","","","","","","","RG-MAGHREB-MOUNTAIN","462","Marrakech, only after a named Atlas community package is selected","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The accepted package requires a named Atlas community; broad Marrakech state 462 is not a substitute.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-093","Asante","DOX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","274","Ghana","274","Ghana","","","RG-GHANA-ASANTE-FANTE","274","Ghana, with Kumasi as the required capital location","unchanged_current_ids","274=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The high-chaos package retains broad Ghana only because the accepted direction explicitly requires Kumasi as its capital location.","Kumasi VP 12787 is in state 274. Installed state history and STATE_n localisation were also checked.","274-British Africa.txt",""
"IW-094","Fante","DPX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-GHANA-ASANTE-FANTE","274","Ghana, with Cape Coast as the required capital location","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no distinct Fante or Cape Coast state separate from broad Ghana state 274.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-095","Dahomey","DAH","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","776","Dahomey","776","Dahomey","","","RG-NIGERIA-COARSE","556","French West Africa, with an Abomey or Dahomey state required","rebound_to_current_split","776=FRA","FRA=16","FRA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a dedicated Dahomey state.","Current state 776 is Dahomey; DAH installed core is state 776. Installed state history and STATE_n localisation were also checked.","776-Dahomey.txt",""
"IW-096","Benin Kingdom","BIA","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-NIGERIA-COARSE","558","Nigeria, with Benin City as the required capital location","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Edo or Benin City state; broad Lagos state 558 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-097","Oyo","DSX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","558","Lagos","558","Lagos","","","RG-NIGERIA-COARSE","558","Nigeria, with Oyo or Ibadan as the required capital location","unchanged_current_ids","558=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","558-Nigeria.txt",""
"IW-098","Sokoto","SOK","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","902","Sokoto","902","Sokoto","","","RG-NIGERIA-COARSE","558","Nigeria, with Sokoto as the required capital location","rebound_to_current_split","902=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a dedicated Sokoto state.","Sokoto VP 1891 is in state 902; SOK installed cores include state 902. Installed state history and STATE_n localisation were also checked.","902-Sokoto.txt",""
"IW-099","Kanem-Bornu","DUX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","901","Borno","901","Borno","","","RG-NIGERIA-COARSE","558","Nigeria or Lake Chad map group, with a Bornu state required","rebound_to_current_split","901=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a dedicated Borno state.","Current state 901 is Borno. Installed state history and STATE_n localisation were also checked.","901-Borno.txt",""
"IW-100","Hausa Federation","DVX","formable_or_route_only","route_only_bound","fixed_anchor_compact","902","Sokoto","902","Sokoto","","","RG-NIGERIA-COARSE","558","Nigeria, reserved for a later Hausa federal formable","rebound_to_current_split","902=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The Hausa package remains route-only and shares the Sokoto reservation.","Installed state history and STATE_n localisation checked.","902-Sokoto.txt",""
"IW-101","Kongo","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","295","Léopoldville","295","Léopoldville","","","RG-CONGO-BASIN-COARSE","538","Central Congo, with a Kongo or lower Congo substate required","rebound_to_current_split","295=BEL","BEL=6","BEL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The high-chaos Kongo package uses the current lower-Congo capital region and does not claim the entire Congo Basin.","Current state 295 is Léopoldville. Installed state history and STATE_n localisation were also checked.","295-Congo.txt",""
"IW-102","Kuba","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","","","","","","","RG-CONGO-BASIN-COARSE","538","Central Congo, with a Kuba substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no uniquely evidenced Kuba state; broad Congo state 538 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-103","Luba","DYX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-CONGO-BASIN-COARSE","538","Central Congo, with a Luba substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no uniquely evidenced Luba state; broad Congo state 538 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-104","Lunda","DZX","high_chaos_only","disabled_no_unique_current_state","unbound","","","","","","","RG-CONGO-BASIN-COARSE","538","Central Congo, with a Lunda substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no uniquely evidenced Lunda state; broad Congo state 538 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-105","Loango","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","","","","","","","RG-CONGO-BASIN-COARSE","660","Equatorial Africa, with a Loango coastal substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no uniquely evidenced Loango coastal state; broad Equatorial Africa state 660 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-106","Aro Confederacy","EBX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","900","Benue","900","Benue","","","RG-NIGERIA-COARSE","558","Nigeria, with an Aro or southeast Nigerian substate required","rebound_to_current_split","900=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The high-chaos Aro package uses the current southeast Nigerian split.","Current state 900 is Benue. Installed state history and STATE_n localisation were also checked.","900-Benue.txt",""
"IW-107","Biafran regional state","BIA","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","900","Benue","900","Benue","","","RG-NIGERIA-COARSE","558","Nigeria, with a southeast Nigerian or Biafran state required","rebound_to_current_split","900=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed Biafran core identifies the current southeast Nigerian split.","BIA installed core is state 900. Installed state history and STATE_n localisation were also checked.","900-Benue.txt",""
"IW-108","Buganda","UGA","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","548","Uganda","548","Uganda","","","RG-GREAT-LAKES-COARSE","548","Uganda, with Buganda as the required capital location","unchanged_current_ids","548=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Buganda uses the accepted Kampala/Uganda anchor, but runtime host-survival must reject it when the host owns no safe remnant.","Kampala VP 12989 is in state 548. Installed state history and STATE_n localisation were also checked.","548-Uganda.txt",""
"IW-109","Bunyoro","EEX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-GREAT-LAKES-COARSE","548","Uganda, with a Bunyoro substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Bunyoro state; broad Uganda state 548 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-110","Rwanda","RWA","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","768","Rwanda","768","Rwanda","","","RG-GREAT-LAKES-COARSE","","Rwanda map group, use registered tag cores from the installed build","new_current_state_binding","768=BEL","BEL=6","BEL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Rwanda state.","RWA installed core is state 768; Kigali VP 9962 is in state 768. Installed state history and STATE_n localisation were also checked.","768-Rwanda.txt",""
"IW-111","Burundi","BRD","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","769","Burundi","769","Burundi","","","RG-GREAT-LAKES-COARSE","","Burundi map group, use registered tag cores from the installed build","new_current_state_binding","769=BEL","BEL=6","BEL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Burundi state.","BRD installed core is state 769; Bujumbura VP 2220 is in state 769. Installed state history and STATE_n localisation were also checked.","769-Burundi.txt",""
"IW-112","Ankole","EHX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-GREAT-LAKES-COARSE","548","Uganda, with an Ankole substate required","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map has no unique Ankole state; broad Uganda state 548 is rejected.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-113","Harar","HAR","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","835","Hararghe","835","Hararghe","","","RG-HORN-HIGHLANDS-COARSE","","Harar map group, use registered tag cores from the installed build","new_current_state_binding","835=ETH","ETH=271","ETH retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Hararghe state for Harar.","HAR installed core is state 835; Harar VP 13249 is in state 835. Installed state history and STATE_n localisation were also checked.","835-Haraghe.txt",""
"IW-114","Afar state","AFA","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","908","Afar","908","Afar","","","RG-HORN-HIGHLANDS-COARSE","268","French Somaliland, with an Afar or Aussa state required","rebound_to_current_split","908=AFA","AFA=908","AFA anchor contains protected capital state 908: skip/reject while protection applies; AFA anchor would erase the 1936 host: reject. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a dedicated Afar state.","AFA installed cores include state 908. Installed state history and STATE_n localisation were also checked.","908-Afar.txt",""
"IW-115","Somaliland sultanate federation","SOM","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","269","British Somaliland","269","British Somaliland","","","RG-HORN-HIGHLANDS-COARSE","269|559","British Somaliland | Somaliland, northern package only","narrowed_to_current_anchor","269=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The package is restricted to the northern British Somaliland anchor; broader Somalia is not granted.","Installed state history and STATE_n localisation checked.","269-British Somaliland.txt",""
